1, 2.4539E-4, 2.4539E-4, Infinity, Infinity
1501, 0.001221089, 3.151787819925718E-5, 2.5044089039721897E-7, 1.1122909164463089E-7
3001, 6.711180000000001E-4, 1.2250840608279236E-5, 6.579892845429618E-8, 2.7930537246015123E-8
4501, 0.001032776, 1.539400526018741E-5, 6.58656233269992E-8, 2.7276900980926057E-8
6001, 0.001348697, 1.7410152614662008E-5, 6.343834159377044E-8, 2.583374785944943E-8
7501, 0.001774306, 2.0486555209670695E-5, 6.592827471073126E-8, 2.6509931452990992E-8
9001, 0.002108111, 2.2220206646547805E-5, 6.462094411593844E-8, 2.5722810829882665E-8
10501, 0.002443429, 2.384428997809876E-5, 6.366407877902781E-8, 2.513011012864868E-8
12001, 0.002905375, 2.6521218730766683E-5, 6.576596818118715E-8, 2.5774616699712435E-8
13501, 0.0031678780000000003, 2.7263742998921414E-5, 6.334511538249038E-8, 2.467165545731664E-8
15001, 0.002457005, 2.0060693139596414E-5, 4.397483510578858E-8, 1.703323542339888E-8
16501, 0.002708667, 2.1086305026592605E-5, 4.3855307902892494E-8, 1.6903378469517977E-8
18001, 0.0030849730000000004, 2.299339242603036E-5, 4.558213907280819E-8, 1.7490781204216048E-8
19501, 0.0032487590000000004, 2.3264249909113792E-5, 4.4130004751947914E-8, 1.686482635970156E-8
21001, 0.003619624, 2.4977183913914535E-5, 4.548560049241422E-8, 1.73180472352689E-8
22501, 0.0037826400000000003, 2.5217039627567903E-5, 4.421234641405663E-8, 1.677522972314471E-8
24001, 0.004168763000000001, 2.69086888636309E-5, 4.553384554274425E-8, 1.722127612946961E-8
25501, 0.0062761530000000005, 3.930202401130258E-5, 6.432673233100229E-8, 2.425611311811186E-8
27001, 0.003986702, 2.426184643794039E-5, 3.8483035563727024E-8, 1.4470357407263992E-8
28501, 0.003539454, 2.0965548234390018E-5, 3.228226702980715E-8, 1.2106717698282232E-8
30001, 0.0037791730000000003, 2.1818701846641202E-5, 3.266373157295657E-8, 1.2219265257762914E-8
31501, 0.003976473, 2.2404531540424754E-5, 3.265526409860028E-8, 1.218729272719886E-8
33001, 0.004374028, 2.4077866864839723E-5, 3.421061639348956E-8, 1.2739191867762592E-8
34501, 0.004291474, 2.3104184506704282E-5, 3.2037269694679E-8, 1.1904488253259245E-8
36001, 0.004317622, 2.2755549945642487E-5, 3.0826774810173564E-8, 1.1431432733289405E-8
37501, 0.0056089930000000005, 2.8964329115511674E-5, 3.8370443687361074E-8, 1.4201235580376753E-8
39001, 0.006018470000000001, 3.0475316786375122E-5, 3.951463864400316E-8, 1.4597558050366052E-8
40501, 0.006201203000000001, 3.08136450320344E-5, 3.9136684446627086E-8, 1.4432195331432345E-8
42001, 0.006498670000000001, 3.170988513895661E-5, 3.948167764057772E-8, 1.4534526293391823E-8
43501, 0.006736866, 3.2300428873082656E-5, 3.945252554603102E-8, 1.4499916120561188E-8
45001, 0.007071464, 3.333483059716137E-5, 3.9968252672672755E-8, 1.4666203047200349E-8
46501, 0.0072170770000000006, 3.346803331656987E-5, 3.941518084729613E-8, 1.4441175292882587E-8
48001, 0.007593582000000001, 3.465944024658776E-5, 4.0116252613867065E-8, 1.4676376750581548E-8
49501, 0.007709831, 3.4652763305954555E-5, 3.943990213154371E-8, 1.4408385187552609E-8
51001, 0.008108117, 3.590299355609603E-5, 4.0201976679855666E-8, 1.466655240146096E-8
52501, 0.009365303, 4.0873143975431986E-5, 4.50485103889579E-8, 1.6412742327119432E-8
54001, 0.006302122, 2.711976394975638E-5, 2.9433986383302184E-8, 1.0709956434137814E-8
55501, 0.006336096, 2.6894987369420132E-5, 2.875674445478529E-8, 1.0450402905537741E-8
57001, 0.006460359000000001, 2.7059228800559207E-5, 2.8514352007659467E-8, 1.0349690786954735E-8
58501, 0.0067289920000000005, 2.7820720109513836E-5, 2.8904242635872828E-8, 1.0478786823683262E-8
60001, 0.008426313000000001, 3.43999921062278E-5, 3.524956073254687E-8, 1.2764472117507115E-8
61501, 0.007118021, 2.8702397602130362E-5, 2.901782770117494E-8, 1.049608276900212E-8
63001, 0.007759724000000001, 3.091523505976096E-5, 3.0846977876646093E-8, 1.1145535807397164E-8
64501, 0.007325299, 2.8843113056035743E-5, 2.8412590359828694E-8, 1.0255038388289098E-8
66001, 0.00733095, 2.853546799653558E-5, 2.7759482114604953E-8, 1.0008926876759708E-8
67501, 0.007595215000000001, 2.9233779619640214E-5, 2.8092617113990126E-8, 1.0118801436954002E-8
69001, 0.008095212000000001, 3.081772207838735E-5, 2.9262161750483473E-8, 1.0529663931096688E-8
70501, 0.008163761, 3.0746284635397514E-5, 2.885425322769502E-8, 1.0372876613140542E-8
72001, 0.011232503000000001, 4.186077641029039E-5, 3.883682472251021E-8, 1.3948385893184795E-8
73501, 0.011546952000000001, 4.259128435526811E-5, 3.907327919943881E-8, 1.4020391715801E-8
75001, 0.012184527, 4.449130532849149E-5, 4.0369763958143835E-8, 1.4472559324001306E-8
76501, 0.012357531000000001, 4.467845560720851E-5, 4.0104809335783325E-8, 1.4364908184677949E-8
78001, 0.012427693, 4.4497993793842985E-5, 3.9522786969701967E-8, 1.4144230204627165E-8
79501, 0.012937137000000001, 4.588300798186069E-5, 4.0332572288989255E-8, 1.4421844047200643E-8
81001, 0.013025463000000001, 4.5766529333931385E-5, 3.9822975182626604E-8, 1.4227846011463922E-8
82501, 0.013586655000000001, 4.730237441338692E-5, 4.07504117116637E-8, 1.4547394145620097E-8
84001, 0.013549526000000001, 4.675002791692135E-5, 3.988163609497683E-8, 1.4225935173180653E-8
85501, 0.014019887000000002, 4.794672147956935E-5, 4.051053134838178E-8, 1.4438999421541741E-8
87001, 0.014231153000000002, 4.824785003302139E-5, 4.038110219819094E-8, 1.4381859218980035E-8
88501, 0.014484047000000002, 4.868731630365789E-5, 4.037178513243147E-8, 1.4367747856828874E-8
90001, 0.015157219000000001, 5.0523782646431655E-5, 4.151339336016426E-8, 1.4763142696792153E-8
